AGID,SoftVend,SoftReg,SPID,TMID,TMRef,OK,Name,Contact,TID,Title,Address,Suburb,State,Pcode,Phone,Mobile,Fax,Email,ABNEntity,ABN,GST,TType,SM2TM,TMComment,LastUPD,Memos
996,PROPERTYIQ,Simply Strata ,159211.0,16,ENVIRO & ECO SAFE PEST CONTROL,N,ENVIRO & ECO SAFE PEST CONTROL,,N,Pest Control,Rayner Drive LANDSDALE WA 6065,,,,6244 4292,,,info@enviropestcontrol.com.au,,63866786730,R,,31/8/18 PL/WC req sent ,,18/02/2022,Description|Status|Comments|amenity tree services|2007-01-01||Public Liability|2008-05-31||Professional Indemnity|2008-05-31||
996,PROPERTYIQ,Simply Strata ,0.0,18,TELSTRA BUSINESS,X,Telstra Corporation Limited,,N,Telephone & Data,GPO Box 9901 MELBOURNE VIC 3001,,,,7.78E+33,,,tbcc@online.telstra.com.au,,17623571068,U,,20/5/20 unable to carry out work 7/5/20 Emailed reg,,29/04/2024,Description|Status|Comments|Licence - Company - |||
996,PROPERTYIQ,Simply Strata ,159788.0,19,CANNING GARDEN SERVICES,N,CANNING GARDEN SERVICES,Craig Swaine,N,Garden Maintenance,10 Newsam Close PARKWOOD WA 6147,PARKWOOD,WA,6147,,7.78E+18,,canninggardenservices@iinet.net.au,,62055119610,R,,15/5/20 See ConID: 159248 New ABN: 31169409876,,15/05/2020,Description|Status|Comments|Licence - Individual - Roof Tiler|||Public Liability||$20M|
996,PROPERTYIQ,Simply Strata ,,20,ABLEWOMAN SOLUTIONS,,ABLEWOMAN SOLUTIONS,,,Garden Maintenance,6 Shawfield Street KELMSCOTT WA 6112,,,,,0403 534 438,6.67E+43,terryurquhart@hotmail.com,,89874273676,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,61734.0,21,CREW CUT LAWNMOWING,N,CREW CUT LAWNMOWING,Graeme Hodges,N,Lawnmower,12 Flores Place WAIKIKI WA 6169,WAIKIKI,WA,6169,,0417 930 082,,"crewcutlawnmowinggh@gmail.com, crewcutlawnmowinggh@gmail.com, crewcutlawnmowinggh@gmail.com, crewcutlawnmowinggh@gmail.com,",,99159702235,R,,,,9/04/2024,Description|Status|Comments|Workers Compensation|2025-03-31||Professional Indemnity|2024-09-30||Public Liability |2024-09-30|$20M/$5m|Licence - Company - Electrical|2027-01-12||Licence - Supervisor - Electrical|2024-11-24||Fire Safety Assessor|2025-01-30||
996,PROPERTYIQ,Simply Strata ,203702.0,22,ROD KING BRICKLAYING,V,ROD KING BRICKLAYING,Rodney James King,N,Fencing,26 Landsborough Way PADBURY WA 6025,PADBURY,WA,6025,0408 129 186,,,briksrus@bigpond.commmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,,26200902071,U,,12/07/21 Expired PL :,,14/09/2022,"Description|Status|Comments|Public Liability - Lawn Mowing, Gardening (Excluding Tree Felling/Lopping >3M)|2021-07-08|$5M|"
996,PROPERTYIQ,Simply Strata ,31336.0,100000030,8200038,Z,HELMUT RHOAR,Helmut Rhoar,N,Builder,68 Southey Street  ,Mittagong,NSW,2575,,417404505,,helmut@shiponland.com,,,R,,22/08/18 NEW-RECORD :,,27/08/2018,
996,PROPERTYIQ,Simply Strata ,113465.0,100000032,8200040,Y,SPARKLING STRATA,Nash,N,Clean/Lawns,38A Chandler Street  ,ROCKDALE,NSW,2216,,0411 034 127,,sparklingstrata@live.com,,86980903014,R,,,,27/05/2024,Description|Status|Comments|Public Liability / Product Liability|2025-05-21|$10M|OHS Trades Monitor accredited|2024-01-27||
996,PROPERTYIQ,Simply Strata ,0.0,100000034,8200042,Z,NSW WEED CONTROL,Trevor Cochrane,N,Horticulture & Lands,6 GREVILLEA ROAD  ,BUXTON,NSW,2571,0418 810 372,0418 810 372,02 4681 0372,nswweedcontrol@hotmail.com,,69073754695,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,3335.0,100000035,8200043,Z,SOUTHERN HIGHLANDS HANYDYMAN,Sthn Highlands Hanydyman,N,Handyman,P.O 455  ,Bowral 2576,,2576,,0410 500 980,,jpel@bigpond.com,,26815007524,R,,22/08/18 NEW-RECORD :,,19/02/2020,Description|Status|Comments|Public Liability|2010-08-25||Licence - Individual - Minor Building Maintenance Non-Structural Under $5000|2011-08-22||
996,PROPERTYIQ,Simply Strata ,0.0,100000036,8200045,Z,SOUTHERN HIGHLANDS CLEANING,Sothn Highlands Cleaning,N,Cleaning & Maintenan,P.O BOX 72  ,Mittagong 2575,,2575,,0411 420 640,,southernhighlandscleaning@gmail.com,,27619724882,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,186880.0,100000037,8200047,Z,MIKE MANNING,Mike Manning,N,Gardening,1200 Old Hume Highway  ,ALPINE,NSW,2575,4889 4477,0412 047 263,,mike.m.manning@bigpond.com,,,U,,22/08/18 NEW-RECORD :,,28/02/2019,
996,PROPERTYIQ,Simply Strata ,0.0,100000040,8200050,D,ACCEAD ELECTRICAL SERVICE,Accead Electrical Service,N,Electrical,P.O Box 532  ,Moss Vale,NSW,2577,0431 437 847,0431 437 847,,accead_electrical@yahoo.com.au,,20291931216,R,,30/08/18 SP Requested Deletion: :,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000041,8200051,X,CLIFTON ACCOUNTANTS,Clifton Accountants,N,Accountant,Suite 8/6 Bong Bong Street  ,Bowral 2576,,2576,02 4861 2811,,02 4862 1009,bowral@cliftonaccountants.com.au,,62600307514,R,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000043,8200055,Z,LIFESTYLE IMPROVEMENTS,Lifestyle Improvements,N,Handyman,P.O Box 1892  ,Bowral,NSW,2576,4871 1779,0438 807 063,4871 1779,dgcruickshank@bigpond.com,,68452865892,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,38761.0,100000044,8200056,N,LIFT FIX PTY LTD,Lift Fix Pty Ltd,N,Lift Maintenance,PO BOX 6361  ,WETHERILL PARK BC,NSW,2164,029756 4121,,029756 6991,,,58120943982,R,,8/5/23 NO Longer operating,,8/05/2023,Description|Status|Comments|Licence - Company - Electrician|||Public Liability ||$20M|Licence - Individual - Electrician|||
996,PROPERTYIQ,Simply Strata ,103452.0,100000046,8200059,N,ROCCO ELECTRICAL,Rocco Electrical,N,Electrical,23 Haredale Street  ,Ambarvale.,,2560,0418 662 776,0418 662 776,,roccoelectrical@hotmail.com,,98829504013,R,,02/09/22 Expired PL :,,5/10/2022,Description|Status|Comments|Public Liability|2022-09-01|$10M|Licence - Individual - Electrician |2022-11-26||
996,PROPERTYIQ,Simply Strata ,31336.0,100000047,8200061,Z,TALL POPPIES HORTICULTURE,Tall Poppies Horticulture,N,Clean/Garden,2 Florence st  ,Bundanoon,NSW,2578,48 836 963,,,fred09@tpg.com.au,,,U,,22/08/18 NEW-RECORD :,,31/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000049,8200065,X,SYDNEY WATER,Sydney Water,N,Utility,P.O Box 339  ,Silverwater,NSW,2128,132092 Gener,,,,,49776225038,U,,31/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000051,8200067,Z,ROSS CHASE LANDSCAPING,Ross Chase Landscaping,N,Landscaping,PO Box 747  ,MITTAGONG,NSW,2575,024871 1509,0408 444 426,,,,51535403731,R,,30/08/18 Insufficient Information : No email,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000053,8200070,X,INTEGRAL ENERGY,Integral Energy,N,Electricity,GPO Box 4979  ,Sydney 2001,,2001,131002,,,,,33071052287,U,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000054,8200071,Z,CLEANCUT LAWNMOWING,Cleancut Lawnmowing,N,Clean/Lawns,7 Rebecca Place  ,Moss Vale,NSW,2577,02 4868 3534,0404 494 605,,cleancutdmbourne@gmail.com,,81331993765,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,25594.0,100000055,8200072,Z,KINGSLEY WOOD LAWN MAINTENANCE,Kingsley Wood Lawn Maintenance,N,Clean/Lawns,29 Etheridge St  ,Mittagong,NSW,2575,0421 273 822,,,kingsleyandjoan@gmail.com,,82839232570,U,,25/05/22 Expired PL :,,27/06/2022,Description|Status|Comments|Public Liability|2022-05-24|$10M|
996,PROPERTYIQ,Simply Strata ,0.0,100000056,8200073,X,AGL,AGL,N,Utility,GPO Box 2220  ,SYDNEY 2000,,2000,131245,,,payments@agl.com.au,,88090538337,R,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000057,8200074,Z,HANDYLEC,Handylec,N,Handyman,PO Box 550  ,Figtree.,,2525,0423 635 587,0423 635 587,4226 3469,mark@handylec.com.au,,93755182915,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000059,8200079,Z,JIMMY WAN CLEANING SERVICES,Jimmy Wan Cleaning Services,N,Cleaning/Caretaking,68 Dora St  ,Hurstville,NSW,2220,,0433 788 418,95808108,wanxiang234@hotmail.com,,24739155006,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,148650.0,100000060,8200081,Z,SYDNEY PLUMBING INNOVATIONS,Sydney Plumbing Innovations,N,PLUMBER,  ,,,,432714350,,,sydneyplumbinginnovations@live.com.au,,75601892979,R,,,,29/04/2024,
996,PROPERTYIQ,Simply Strata ,146948.0,100000062,8200084,N,LONG LIFE BRUSHWOOD FENCING,Long Life Bushwood Fencing,N,Fencing,PO BOX 480  ,NARELLEN 2567,,2567,402021877,,,longlifebrush@gmail.com,,78282149699,R,,09/10/23 Expired PL :,,10/11/2023,Description|Status|Comments|Public Liability|2023-10-08|$10M|Licence - Individual - Fencer|2024-08-08||
996,PROPERTYIQ,Simply Strata ,0.0,100000064,8200088,Z,CUSTOM COLLECTION SERVICES,Custom Collection Services,N,Debt Collection ,PO Box 774 Miranada NSW 2228  ,PO Box 806 Nowra,NSW,2541,0295447222 S,,295224490,custom@customcommercial.com.au,,16097215622,U,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000065,8200089,X,CHU INSURANCE,Insurance CHU,N,Insurance Company,PO BOX 507  ,MILSONS POINT,NSW,1565,1300 361 263,,1300 361 269,banking@chu.com.au,,18001580070,R,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000067,8200091,V,KAWALEWSKI PLUMBING PTY LTD,Kawalewski Plumbing Pty Ltd,N,Plumbing,PO Box 429  ,MITTAGONG,NSW,2575,4871 1206,0408 275 141,,admin@kawalewskiplumbing.com.au,,51159285409,R,,,,27/08/2018,Description|Status|Comments|NSW:OFT : Licence - Supervisor - Plumbing; Draining; Gasfitting; LP Gasfitter|Not Held/No Expiry Date||Public Liability|Not Held/No Expiry Date|$20 $10M|Workers Compensation|Held||Licence - Company - Plumbing; Draining; Gasfitting; LP Gasfitter |Held||NSW:OFT : Licence - Partnership -|Not Held/No Expiry Date||
996,PROPERTYIQ,Simply Strata ,0.0,100000068,8200092,Z,IAN DISHER,Ian Disher,N,Painting & Building,76 Banksia Street  ,Colo Vale,NSW,2575,024889 4561,,,,,55178176279,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,596.0,100000069,8200094,Z,JESSE BOND PAINTING,J Bond Painting,N,Painting,35 Joadja St  ,Welby,NSW,2575,0431 395 107,,,jbondpainting@gmail.com,,95249389747,R,,,,24/02/2022,
996,PROPERTYIQ,Simply Strata ,0.0,100000071,8200096,Z,DUPON CARPETS,Dupon Carpets,N,Carpet & Upholstery,Shop 2 7 Mill Road  ,Campbelltown.,,2560,4628 8644,,4628 8642,duponcarpets@outlook.com,,27268622612,R,,22/08/18 NEW-RECORD :,,24/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000072,8200098,D,BOB VANOS ELECTRICS,Bob Vanos Electrics,N,Electrical,168 Merrigang Street  ,Bowral,NSW,2576,024861 2986,0418 288 621,,bobvanos2@gmail.com,,72002520701,R,,30/08/18 SP Requested Deletion: :,,,
996,PROPERTYIQ,Simply Strata ,831.0,100000073,8200099,Y,GLENCO ELECTRICAL SERVICES,Glenco Electrical Services,N,Electrical,PO Box 7402  ,Alexandria,NSW,2015,9700 9996,,9700 9966,accounts@glenco.com.au,,54051413926,R,,19/04/2024 - Phone number - 0297009966 has been disconnected. ,,5/07/2024,Description|Status|Comments|Licence - Company - Electrician|2028-03-25||Licence - Supervisor - Electrician|2027-03-25||Professional Indemnity|2025-04-01|$10M|Public Liability / Product Liability|2025-04-01|$20M|Workers Compensation|2025-06-30||
996,PROPERTYIQ,Simply Strata ,0.0,100000074,8200100,X,TELSTRA,Telstra 7773,N,Utility,  ,,,,13 20 00,,,,,33051775556,R,,31/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,95807.0,100000076,8200102,N,IVANEZA J & K,J & K Ivaneza,N,Cleaner,4 Bruce Street  ,Unanderra,NSW,2526,0401 465 937,,,karolina.ivaneza@hotmail.com,,80943685231,R,,06/09/21 Expired PL :,,29/04/2024,Description|Status|Comments|Public Liability|2021-09-02|$10M|
996,PROPERTYIQ,Simply Strata ,0.0,100000078,8200104,Z,PAUL MCRAE ELECTRICAL,Paul Mcrae Electrical,N,Electrical,PO Box 1863  ,BOWRAL,NSW,2576,,0417 682 989,48871016,,,80761793995,R,,30/08/18 Insufficient Information : No email,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000079,8200105,Z,BOWRAL GLASS,Bowral Glass,N,Glass,PO Box 1109  ,BOWRAL,NSW,2576,4861 5530,,,sales@bowralglass.com.au,,51798618534,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000080,8200106,Z,ILLAWARRA PREMIER LAWNS,Illawarra Premier Lawns,N,Gardener,PO Box 1862  ,WOLLONGONG,NSW,2500,,0408 426 369,,illpremierlawns@optusnet.com.au,,11390886893,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000081,8200108,Z,NU TONE,Nu Tone,N,PAINTERS,Unit 4 56-65 Berrima Rd  ,MOSS VALE,NSW,2577,0411 104 821,,411104821,lukenewton@me.com,,93134273046,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,25566.0,100000084,8200113,Z,ALPINE LOCKSMITHS,Alpine Locksmiths,N,Locksmiths,Shop 1/264 Argyle Street  ,MOSS VALE,NSW,2577,4868 1317,,02 48681792,lockalpine@bigpond.com,,34077744113,R,,,,15/02/2022,Description|Status|Comments|Workers Compensation|2011-07-24||Public Liability|2010-05-20|$5M|Security Service - Master Licence|2012-11-26||
996,PROPERTYIQ,Simply Strata ,186880.0,100000085,8200114,Z,DAVID ELLIS,David Ellis,N,Fencing,35 Elizabeth Street  ,MOSS VALE,NSW,2577,,0423 986 829,,,,,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000086,,X,WINGECARRIBEE SHIRE COUNCIL,Wingecarribee Shire Council,N,Council,PO Box 141  ,MOSS VALE,NSW,2577,,,,,,49546344354,U,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,74861.0,100000087,8200116,N,TJ & RF FORDHAM PTY LTD,TJ & RF FORDHAM PTY LTD,N,Road & Bridge Constrution,PO Box 431  ,CAMDEN,NSW,2570,024654 9900,,024654 9999,,,56000548354,R,,26/10/22 Expired PL :,,25/11/2022,Description|Status|Comments|Road and Bridge Construction|2023-06-30||Public Liability|2022-10-24|$50M|
996,PROPERTYIQ,Simply Strata ,0.0,100000089,8200118,Z,JARRA ROSE PTY LTD,Jarra Rose Pty Ltd,N,Painting,457 Kurmond Road  ,FREEMANS REACH,NSW,2756,024579 6537,,024579 6534,,,47063094548,U,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000090,8200119,Z,EAST ELECTRICAL,East Electrical,N,Electrical,5/5 Imperial Ave  ,BONDI,NSW,2026,293006674,420300320,293009961,garth@eastelectrical.com.au,,40150110231,U,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000091,8200120,Z,MARCUS O'CONNELL ELECTRICAL,Marcus O'connell Electrical,N,Electrical,PO Box 88  ,BERRIMA,NSW,2577,024877 1166,,024877 1927,office@mocelectrical.com.au,,80119749790,R,,22/08/18 NEW-RECORD :,,5/09/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000092,8200121,Z,MCANDREW PROPERTY MAINTENANCE,McAndrew Property Maintenance,N,Property Maintenance,129 Old Hume Highway  ,MITTAGONG,NSW,2575,024872 1006,,,,,24086974914,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000095,8200125,X,POWER BY WATTS,Power By Watts,N,Electrical,PO Box 78  ,MOSS VALE,NSW,2577,4868 2834,,,admin@powerbywatts.com.au,,22003793968,R,,30/08/18 May not be a Service Provider :,,,
996,PROPERTYIQ,Simply Strata ,329.0,100000096,8200126,Y,BELLS LOCKSMITHS,Bells Locksmiths,N,Locksmiths,226 William Street  ,SYDNEY,NSW,2011,02 9357 2333,,02 9357 2805,accounts@bellslocksmiths.com.au,,85001843232,R,,,,22/07/2024,Description|Status|Comments|Security Service - Master Licence|2029-07-22||Workers Compensation|2024-12-31||Public Liability / Product Liability|2025-07-07|$20M|OHS Trades Monitor accredited|2013-06-02||
996,PROPERTYIQ,Simply Strata ,0.0,100000099,8200129,Z,AQUAMANN IRRIGATION,Aquamann Irrigation,N,Plumbing,PO Box 515  ,MOSS VALE,NSW,2577,4869 3336,,4869 3337,shop@aquamann.com.au,,23106891972,R,,22/08/18 NEW-RECORD :,,19/12/2019,
996,PROPERTYIQ,Simply Strata ,0.0,100000100,8200130,X,ENERGY AUSTRALIA,Energy Australia,N,Power,Locked Bag W100  ,SYDNEY,NSW,2000,,,,,,99086014968,R,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,121984.0,100000106,8200136,Y,GUTTER BOY,Boy Gutter,N,Gutters,PO Box 928  ,Balgowlah,NSW,2093,0411 59 6060,0411 59 6060,9948 0001,accounts@gutterboy.net.au ,,62457943572,R,, 13/10/16 SWMS/WHS&E Mgt held - filed externally ABN = Trust,,7/05/2024,Description|Status|Comments|OHS Certificate|2025-01-08||OHS Other||WHS Letter|Workers Compensation|2025-03-31||Public Liability / Product Liability|2025-04-30|$20M|OHS Trades Monitor accredited|2023-06-24||
996,PROPERTYIQ,Simply Strata ,0.0,100000108,8200139,Z,HIGHLANDS LAWN & GARDEN CARE,Highlands Lawn & Garden Care,N,Lawnmower,PO Box 277  ,MITTAGONG,NSW,2575,,,,gisedale@acenet.com.au,,76620711682,R,,30/08/18 Duplicate/Similiar record in your Data :,,,
996,PROPERTYIQ,Simply Strata ,38188.0,100000109,8200140,N,CLEAN IT AWAY PROPERTY SERVICE,Clean It Away Property Service,N,Cleaning & Maintenan,PO Box 435  ,Concord West,NSW,2138,415484610,,297436345,cleanitaway@yahoo.com.au,,16119450921,R,,12/07/23 Expired PL :,,14/08/2023,Description|Status|Comments|Workers Compensation|2023-06-30||Public Liability - Rubbish Removal: Lawn Mowing: Garden & Property Maintenance|2023-07-11|$10M|
996,PROPERTYIQ,Simply Strata ,4883.0,100000110,8200141,Y,PETER TRAN ELECTRICAL,Peter Tran Electrical,N,Electrical,31 Valencia St  ,Greenacre,NSW,2190,297032061,400198397,297032061,peternt31@gmail.com,,87945148057,R,,,,17/06/2024,Description|Status|Comments|Licence - Individual - Electrician|2025-01-20| |Licence - Partnership - Electrician|2024-10-29||Public Liability / Product Liability|2025-06-12|$20M|
996,PROPERTYIQ,Simply Strata ,0.0,100000111,8200142,Z,NEIL & JO'S DETAILING,Neil & Jo's Detailing,N,Cleaning & Maintenan,5 Sydney Street  ,New Berrima,NSW,2577,,459725394,,,,63626450245,R,,30/08/18 Insufficient Information : No email,,,
996,PROPERTYIQ,Simply Strata ,80513.0,100000112,8200143,Z,PROFESSIONAL HOME CARE & MAINT,Professional Home Care & Maint,N,Clean/Lawns,PO Box 3376  ,EXETER,NSW,2579,,427894562,,,,52866494864,R,,,,29/04/2024,Description|Status|Comments|Workers Compensation|2012-11-02||
996,PROPERTYIQ,Simply Strata ,0.0,100000115,8200146,Z,GS SECURITY,GS Security,N,General Repairs,  ,,,,,,,Phil_Colburn@gssecurity.com.au,,96079833499,R,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,100000116,8200147,X,WOLLONDILLY SHIRE COUNCIL,Wollondilly Shire Council,N,Council,PO Box 21  ,PICTON,NSW,2571,024677 1100,,,,,93723245808,R,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,0.0,100000117,8200148,Z,STATUS FLOW PLUMBING,Status Flow Plumbing,N,Plumbing,PO Box 994  ,PETERSHAM,NSW,2049,029590 5722,,029590 5822,flowing@statusflow.com.au,,42109830284,R,,31/08/18 No longer trading with this ABN,,,
996,PROPERTYIQ,Simply Strata ,324.0,100000120,8200152,Y,ALLGATE AUTOMATION PTY LTD,Allgate Automation Pty Ltd,N,Garage Door Repairs,Unit 1 2 Garner Place 2 Garner Place,INGLEBURN,NSW,2565,1300 655 600,,,accounts@allgate.com.au,,51114846276,R,, 30/9/16 SWMS Held - see in scanned section General Insurance,,17/07/2024,Description|Status|Comments|Public Liability / Professional Indemnity|2024-09-28|$20M|OHS Certificate|2025-04-11||Workers Compensation|2025-06-30||Licence - Company - Builder|2027-09-24||Licence - Supervisor - Builder|2027-09-24||
996,PROPERTYIQ,Simply Strata ,39942.0,100000121,8200153,N,THIESS SERVICES,Thiess Services,N,Rubbish Removal,Po Box 780  ,PICTON,NSW,2571,246779900,,246771940,,,69010725247,U,,18/2/22 phone & email non-function,,29/04/2024,Description|Status|Comments|Workers Compensation|||Public Liability||$50M|Professional Indemnity|||Accreditation rFriable Asbestos Removal Licence|||
996,PROPERTYIQ,Simply Strata ,118927.0,100000123,8200155,Y,IHAND SECURITY PTY LTD,IHand Communications Pty Ltd,N,Security,PO Box 497  ,Kingswood.,,2747,1300 144 263,,,accounts@ihandsecurity.com.au,,63166746729,R,,,,29/05/2024,Description|Status|Comments|Workers Compensation|2025-02-28||Public Liability / Product Liability|2025-03-06|$20M|Master Security Licence|2027-05-13||
996,PROPERTYIQ,Simply Strata ,553.0,100000124,8200157,Y,ENVIROPEST,Enviropest,N,Pest Control,7/28 Glastonbury Ave  ,Unanderra,NSW,2526,242728385,,242728615,kirsti.sturluson@flick-anticimex.com.au,,85000059665,R,,23/09/16 SWMS held :Approved for hygiene services & pest control. The Individual performing Pest Control Work must hold PMT Licence,,23/07/2024,Description|Status|Comments|Public Liability and Professional Indemnity|2025-05-31|$20M&$10M|Workers Compensation|2025-06-30||
